Battery,Group,Severity,Mean,SD,N,Analysis,Term,Estimate,CI_lower,CI_upper,p_value
PHQ-9,Non-target,Mild,7.0537037037037,3.4805162947872232,540,Group_means,NA,NA,NA,NA,NA
PHQ-9,Non-target,Moderate,12.957407407407409,4.264453839573392,540,Group_means,NA,NA,NA,NA,NA
PHQ-9,Non-target,Severe,20.33703703703704,4.610760033625645,540,Group_means,NA,NA,NA,NA,NA
PHQ-9,Target,Mild,6.88888888888889,2.521953299965122,162,Group_means,NA,NA,NA,NA,NA
PHQ-9,Target,Moderate,12.84567901234568,3.2904359575498368,162,Group_means,NA,NA,NA,NA,NA
PHQ-9,Target,Severe,21,2.60910969799069,162,Group_means,NA,NA,NA,NA,NA
PHQ-9,Non-target,All,13.449382716049403,6.834623250324972,1620,Group_means,NA,NA,NA,NA,NA
PHQ-9,Target,All,13.57818930041153,6.441253769000937,486,Group_means,NA,NA,NA,NA,NA
GAD-7,Non-target,Mild,4.675324675324674,3.5926871766181976,539,Group_means,NA,NA,NA,NA,NA
GAD-7,Non-target,Moderate,11.77962962962963,4.4129964758615525,540,Group_means,NA,NA,NA,NA,NA
GAD-7,Non-target,Severe,18.159259259259258,2.839002053527376,540,Group_means,NA,NA,NA,NA,NA
GAD-7,Target,Mild,4.08641975308642,1.7208803962626038,162,Group_means,NA,NA,NA,NA,NA
GAD-7,Target,Moderate,10.358024691358025,2.975296392043081,162,Group_means,NA,NA,NA,NA,NA
GAD-7,Target,Severe,17.90740740740741,2.31604062321713,162,Group_means,NA,NA,NA,NA,NA
GAD-7,Non-target,All,11.542310067943186,6.618504781135581,1619,Group_means,NA,NA,NA,NA,NA
GAD-7,Target,All,10.783950617283953,6.139665663823692,486,Group_means,NA,NA,NA,NA,NA
OCI-R,Non-target,Mild,4.00618238021638,4.918212704649139,647,Group_means,NA,NA,NA,NA,NA
OCI-R,Non-target,Moderate,12.098765432098768,9.849224936934847,648,Group_means,NA,NA,NA,NA,NA
OCI-R,Non-target,Severe,32.571870170015444,16.429340591014718,647,Group_means,NA,NA,NA,NA,NA
OCI-R,Target,Mild,13.277777777777779,8.609815957243805,54,Group_means,NA,NA,NA,NA,NA
OCI-R,Target,Moderate,32.74074074074074,6.164980788307103,54,Group_means,NA,NA,NA,NA,NA
OCI-R,Target,Severe,49.925925925925924,6.179246616629448,54,Group_means,NA,NA,NA,NA,NA
OCI-R,Non-target,All,16.223480947476823,16.575448615035835,1942,Group_means,NA,NA,NA,NA,NA
OCI-R,Target,All,31.98148148148146,16.58348809191498,162,Group_means,NA,NA,NA,NA,NA
PCL-5,Non-target,Mild,1.3786707882534743,3.521764627887317,647,Group_means,NA,NA,NA,NA,NA
PCL-5,Non-target,Moderate,11.83179012345678,13.496617306089819,648,Group_means,NA,NA,NA,NA,NA
PCL-5,Non-target,Severe,49.55092592592595,23.335080802305892,648,Group_means,NA,NA,NA,NA,NA
PCL-5,Target,Mild,7.296296296296297,1.5737184619062308,54,Group_means,NA,NA,NA,NA,NA
PCL-5,Target,Moderate,33.425925925925924,7.989620275416907,54,Group_means,NA,NA,NA,NA,NA
PCL-5,Target,Severe,65.96296296296296,7.442770236347163,54,Group_means,NA,NA,NA,NA,NA
PCL-5,Non-target,All,20.93051981471953,25.971837914608557,1943,Group_means,NA,NA,NA,NA,NA
PCL-5,Target,All,35.561728395061756,24.890802850838554,162,Group_means,NA,NA,NA,NA,NA
MDQ,Non-target,Mild,0,0,647,Group_means,NA,NA,NA,NA,NA
MDQ,Non-target,Moderate,0.42503863987635243,2.2492222164561695,647,Group_means,NA,NA,NA,NA,NA
MDQ,Non-target,Severe,3.3441358024691388,5.63471489304364,648,Group_means,NA,NA,NA,NA,NA
MDQ,Target,Mild,5.87037037037037,5.8826457155734415,54,Group_means,NA,NA,NA,NA,NA
MDQ,Target,Moderate,12.62962962962963,1.170329679342878,54,Group_means,NA,NA,NA,NA,NA
MDQ,Target,Severe,13,0,54,Group_means,NA,NA,NA,NA,NA
MDQ,Non-target,All,1.2574665293511873,3.8050961472764735,1942,Group_means,NA,NA,NA,NA,NA
MDQ,Target,All,10.5,4.7591037310591755,162,Group_means,NA,NA,NA,NA,NA
PQ-16,Non-target,Mild,0.6888888888888882,0.5409627460747111,540,Group_means,NA,NA,NA,NA,NA
PQ-16,Non-target,Moderate,1.2444444444444434,0.9275552214990215,540,Group_means,NA,NA,NA,NA,NA
PQ-16,Non-target,Severe,3.8537037037036894,4.687931569267095,540,Group_means,NA,NA,NA,NA,NA
PQ-16,Target,Mild,3.9012345679012297,3.4662702609975313,162,Group_means,NA,NA,NA,NA,NA
PQ-16,Target,Moderate,6.782608695652167,4.564394335744217,161,Group_means,NA,NA,NA,NA,NA
PQ-16,Target,Severe,13.577639751552795,4.185749263203654,161,Group_means,NA,NA,NA,NA,NA
PQ-16,Non-target,All,1.929012345679029,3.09922746553216,1620,Group_means,NA,NA,NA,NA,NA
PQ-16,Target,All,8.078512396694197,5.762198605749597,484,Group_means,NA,NA,NA,NA,NA
EDE-Q,Non-target,Mild,0.18368506493506492,0.39677744844129625,539,Group_means,NA,NA,NA,NA,NA
EDE-Q,Non-target,Moderate,0.7466435185185185,0.9525153548178908,540,Group_means,NA,NA,NA,NA,NA
EDE-Q,Non-target,Severe,2.923043981481481,2.3242645656003225,540,Group_means,NA,NA,NA,NA,NA
EDE-Q,Target,Mild,2.35883487654321,1.582739666230262,162,Group_means,NA,NA,NA,NA,NA
EDE-Q,Target,Moderate,4.592052469135803,1.2515080237098022,162,Group_means,NA,NA,NA,NA,NA
EDE-Q,Target,Severe,5.763888888888889,0.41010326206823355,162,Group_means,NA,NA,NA,NA,NA
EDE-Q,Non-target,All,1.2851374305126613,1.8842744375715876,1619,Group_means,NA,NA,NA,NA,NA
EDE-Q,Target,All,4.238258744855967,1.8456553329486871,486,Group_means,NA,NA,NA,NA,NA
PHQ-9,NA,NA,NA,NA,NA,Demographic,(Intercept),1.3227445394114055,-0.3306819955889495,2.97617107441176,0.11682665258672746
PHQ-9,NA,NA,NA,NA,NA,Demographic,Target,-0.6989711934156831,-4.297209699131323,2.8992673122999566,0.7032788786451393
PHQ-9,NA,NA,NA,NA,NA,Demographic,Severity_ord,6.641666666666712,5.997113582861938,7.286219750471486,4.100574720785392e-83
PHQ-9,NA,NA,NA,NA,NA,Demographic,age,-0.0152991452991458,-0.02543276587673466,-0.005165524721556939,0.003103373564375491
PHQ-9,NA,NA,NA,NA,NA,Demographic,genderMale,-1.23171889838556,-1.5494547821895566,-0.9139830145815636,4.3593824839970704e-14
PHQ-9,NA,NA,NA,NA,NA,Demographic,eduHigh,1.2977207977207865,0.9308738197770794,1.6645677756644937,5.301726584345812e-12
PHQ-9,NA,NA,NA,NA,NA,Demographic,eduMaster's,-0.6253561253561344,-0.9818764567872,-0.26883579392506873,5.933770263480715e-4
PHQ-9,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,0.41388888888889314,-0.5723711358598935,1.40014891363768,0.4106109941057551
GAD-7,NA,NA,NA,NA,NA,Demographic,(Intercept),-0.10348936873124827,-1.918925627869579,1.7119468904070823,0.9109984508435605
GAD-7,NA,NA,NA,NA,NA,Demographic,Target,-1.0889292670056359,-3.1086132099379835,0.9307546759267116,0.2904777569458921
GAD-7,NA,NA,NA,NA,NA,Demographic,Severity_ord,6.742808932280264,6.195015060379168,7.2906028041813595,8.303557004453558e-114
GAD-7,NA,NA,NA,NA,NA,Demographic,age,-0.02296296296296337,-0.03234466003562052,-0.013581265890306221,1.698262960114662e-6
GAD-7,NA,NA,NA,NA,NA,Demographic,genderMale,-1.7248182781222705,-1.9610648338667058,-1.4885717223778352,1.9622099975257806e-44
GAD-7,NA,NA,NA,NA,NA,Demographic,eduHigh,1.3179966479525673,0.9928996124771091,1.6430936834280256,3.0047538518821518e-15
GAD-7,NA,NA,NA,NA,NA,Demographic,eduMaster's,-0.8201799902240661,-1.2625022443791796,-0.37785773606895257,2.8316447707955666e-4
GAD-7,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,0.1676848948801987,-0.4871795781783004,0.8225493679386977,0.6156083278138523
OCI-R,NA,NA,NA,NA,NA,Demographic,(Intercept),-9.038475545764259,-11.644798485726685,-6.432152605801832,1.3515334817707177e-11
OCI-R,NA,NA,NA,NA,NA,Demographic,Target,7.679579204383402,5.304155134525038,10.055003274241766,2.8039058951807433e-10
OCI-R,NA,NA,NA,NA,NA,Demographic,Severity_ord,14.285550656126258,11.679394080822211,16.891707231430303,2.839072422669173e-26
OCI-R,NA,NA,NA,NA,NA,Demographic,age,-0.047410797085374316,-0.10498588833177072,0.010164294161022082,0.10648613412242004
OCI-R,NA,NA,NA,NA,NA,Demographic,genderMale,-2.4719148619756375,-3.4172711697045455,-1.5265585542467295,3.1997359868626525e-7
OCI-R,NA,NA,NA,NA,NA,Demographic,eduHigh,3.435322384641277,2.077512226987958,4.793132542294596,7.552172309353671e-7
OCI-R,NA,NA,NA,NA,NA,Demographic,eduMaster's,-2.539141504731469,-3.7199115575845445,-1.3583714518783931,2.5791680688314725e-5
OCI-R,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,4.038523417947819,1.4323668426435217,6.644679993252117,0.002403514390774219
PCL-5,NA,NA,NA,NA,NA,Demographic,(Intercept),-22.323713230639264,-26.429816116440723,-18.217610344837805,6.967190399630284e-26
PCL-5,NA,NA,NA,NA,NA,Demographic,Target,4.159688904624276,0.3266540948539318,7.99272371439462,0.03343499350013988
PCL-5,NA,NA,NA,NA,NA,Demographic,Severity_ord,24.090940437999787,20.2277035801284,27.954177295871176,2.8628919334299676e-33
PCL-5,NA,NA,NA,NA,NA,Demographic,age,-0.07632880889893992,-0.15452317237741495,0.0018655545795351058,0.05571674346456135
PCL-5,NA,NA,NA,NA,NA,Demographic,genderMale,-4.71781463214364,-5.752435824302202,-3.6831934399850783,8.153780039783348e-19
PCL-5,NA,NA,NA,NA,NA,Demographic,eduHigh,5.917177788671222,4.672314833240397,7.162040744102048,2.8072014315039904e-20
PCL-5,NA,NA,NA,NA,NA,Demographic,eduMaster's,-2.213876342382874,-3.4482704074096535,-0.9794822773560943,4.453821050432351e-4
PCL-5,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,5.242392895333927,1.3791560374626028,9.10562975320525,0.00784573072236596
MDQ,NA,NA,NA,NA,NA,Demographic,(Intercept),-1.2949212860110688,-2.1835041677711398,-0.40633840425099776,0.004306882973634891
MDQ,NA,NA,NA,NA,NA,Demographic,Target,5.458748561545808,4.218726755904458,6.698770367187158,1.1614152105992379e-17
MDQ,NA,NA,NA,NA,NA,Demographic,Severity_ord,1.6724157320970923,0.648551029510924,2.6962804346832607,0.0013789055656796513
MDQ,NA,NA,NA,NA,NA,Demographic,age,-0.020997266337767,-0.04171686847631273,-2.776641992212718e-4,0.04701056654752444
MDQ,NA,NA,NA,NA,NA,Demographic,genderMale,0.05360564135067443,-0.31417768292443227,0.4213889656257811,0.7750317335184668
MDQ,NA,NA,NA,NA,NA,Demographic,eduHigh,0.4672307002056894,0.14542294864281263,0.7890384517685662,0.004452068701190514
MDQ,NA,NA,NA,NA,NA,Demographic,eduMaster's,0.2215800729374976,-0.09529301571420684,0.5384531615892021,0.17041661883244427
MDQ,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,1.8923990827176957,0.868534380131383,2.9162637853040083,2.9622050388544946e-4
PQ-16,NA,NA,NA,NA,NA,Demographic,(Intercept),-0.5593334681318864,-1.4786603825267963,0.35999344626302343,0.23294057686793712
PQ-16,NA,NA,NA,NA,NA,Demographic,Target,-0.3484853785869677,-5.010910687395025,4.313939930221091,0.8834784611241934
PQ-16,NA,NA,NA,NA,NA,Demographic,Severity_ord,1.582407407407457,0.7344357813907416,2.430379033424172,2.588327917648753e-4
PQ-16,NA,NA,NA,NA,NA,Demographic,age,-0.015496391322281564,-0.03454574515296878,0.0035529625084056472,0.1107902491044787
PQ-16,NA,NA,NA,NA,NA,Demographic,genderMale,-0.11391298619773554,-0.36086880386852827,0.13304283147305718,0.36578533309265915
PQ-16,NA,NA,NA,NA,NA,Demographic,eduHigh,0.5741832828887659,0.17209280689128148,0.9762737588862502,0.005150159632452833
PQ-16,NA,NA,NA,NA,NA,Demographic,eduMaster's,-0.10826210826210304,-0.39326678064915094,0.17674256412494488,0.4563892748685855
PQ-16,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,3.2540540726143776,2.1318197422456793,4.376288402983076,1.478747285319196e-8
EDE-Q,NA,NA,NA,NA,NA,Demographic,(Intercept),-0.5181669662149759,-0.9849085676132552,-0.05142536481669674,0.029579171615614953
EDE-Q,NA,NA,NA,NA,NA,Demographic,Target,2.288796654461643,0.8804782889835936,3.6971150199396927,0.0014578741745418164
EDE-Q,NA,NA,NA,NA,NA,Demographic,Severity_ord,1.3699384059169282,0.9321970855517248,1.8076797262821316,1.0003937436505005e-9
EDE-Q,NA,NA,NA,NA,NA,Demographic,age,-0.013578881766382087,-0.019348886564442863,-0.0078088769683213105,4.165375137369078e-6
EDE-Q,NA,NA,NA,NA,NA,Demographic,genderMale,-0.7015571969518364,-0.7918589640559283,-0.6112554298477445,8.576176052066296e-50
EDE-Q,NA,NA,NA,NA,NA,Demographic,eduHigh,0.4327514552844891,0.27413489765511073,0.5913680129138674,9.731338160337056e-8
EDE-Q,NA,NA,NA,NA,NA,Demographic,eduMaster's,-0.15585826210826614,-0.24529807817369909,-0.0664184460428332,6.442547956183149e-4
EDE-Q,NA,NA,NA,NA,NA,Demographic,Target:Severity_ord,0.3325886002558986,-0.245676322410107,0.9108535229219041,0.2594815937713699
